1threads,	1631microseconds,	0microseconds
1threads,	0microseconds,	1609microseconds
1threads,	0microseconds,	1625microseconds
1threads,	1684microseconds,	0microseconds
1threads,	1807microseconds,	0microseconds
1threads,	1624microseconds,	0microseconds
1threads,	0microseconds,	1479microseconds
1threads,	1625microseconds,	0microseconds
1threads,	0microseconds,	1352microseconds
1threads,	0microseconds,	1463microseconds
1threads,	0microseconds,	1568microseconds
1threads,	0microseconds,	1395microseconds
1threads,	0microseconds,	1472microseconds
1threads,	0microseconds,	1482microseconds
1threads,	0microseconds,	1731microseconds
1threads,	1642microseconds,	0microseconds
1threads,	1584microseconds,	0microseconds
1threads,	0microseconds,	1440microseconds
1threads,	0microseconds,	1619microseconds
1threads,	0microseconds,	1442microseconds
1threads,	0microseconds,	1729microseconds
1threads,	0microseconds,	1495microseconds
1threads,	0microseconds,	1627microseconds
1threads,	0microseconds,	1871microseconds
1threads,	0microseconds,	1587microseconds
1threads,	1650microseconds,	0microseconds
1threads,	0microseconds,	1491microseconds
1threads,	0microseconds,	1450microseconds
1threads,	0microseconds,	1559microseconds
1threads,	0microseconds,	1551microseconds
1threads,	0microseconds,	1454microseconds
1threads,	1528microseconds,	0microseconds
1threads,	0microseconds,	1297microseconds
1threads,	0microseconds,	1336microseconds
1threads,	0microseconds,	1454microseconds
1threads,	1492microseconds,	0microseconds
1threads,	0microseconds,	1404microseconds
1threads,	0microseconds,	1506microseconds
1threads,	1533microseconds,	0microseconds
1threads,	0microseconds,	1580microseconds
1threads,	0microseconds,	1458microseconds
1threads,	0microseconds,	1398microseconds
1threads,	0microseconds,	1255microseconds
1threads,	0microseconds,	1287microseconds
1threads,	0microseconds,	1454microseconds
1threads,	0microseconds,	1520microseconds
1threads,	0microseconds,	1507microseconds
1threads,	0microseconds,	1390microseconds
1threads,	1564microseconds,	0microseconds
1threads,	0microseconds,	1507microseconds
1threads,	0microseconds,	1354microseconds
1threads,	0microseconds,	1397microseconds
1threads,	0microseconds,	1388microseconds
1threads,	0microseconds,	1413microseconds
1threads,	0microseconds,	1485microseconds
1threads,	0microseconds,	1397microseconds
1threads,	0microseconds,	1416microseconds
1threads,	0microseconds,	1355microseconds
1threads,	0microseconds,	1418microseconds
1threads,	0microseconds,	1505microseconds
1threads,	0microseconds,	1463microseconds
1threads,	0microseconds,	1355microseconds
1threads,	1444microseconds,	0microseconds
1threads,	0microseconds,	1354microseconds
1threads,	2581microseconds,	0microseconds
1threads,	0microseconds,	1403microseconds
1threads,	0microseconds,	1368microseconds
1threads,	1298microseconds,	0microseconds
1threads,	0microseconds,	1420microseconds
1threads,	1626microseconds,	0microseconds
1threads,	0microseconds,	1333microseconds
1threads,	0microseconds,	1449microseconds
1threads,	0microseconds,	1302microseconds
1threads,	1518microseconds,	0microseconds
1threads,	0microseconds,	1446microseconds
1threads,	0microseconds,	1396microseconds
1threads,	0microseconds,	1355microseconds
1threads,	0microseconds,	1423microseconds
1threads,	0microseconds,	1462microseconds
1threads,	0microseconds,	1350microseconds
1threads,	0microseconds,	1437microseconds
1threads,	0microseconds,	1448microseconds
1threads,	0microseconds,	1341microseconds
1threads,	0microseconds,	1211microseconds
1threads,	0microseconds,	1320microseconds
1threads,	1413microseconds,	0microseconds
1threads,	0microseconds,	1908microseconds
1threads,	0microseconds,	1704microseconds
1threads,	0microseconds,	1602microseconds
1threads,	2121microseconds,	0microseconds
1threads,	0microseconds,	1430microseconds
1threads,	1426microseconds,	0microseconds
1threads,	1456microseconds,	0microseconds
1threads,	0microseconds,	1637microseconds
1threads,	0microseconds,	1416microseconds
1threads,	1408microseconds,	0microseconds
1threads,	0microseconds,	1318microseconds
1threads,	0microseconds,	1347microseconds
1threads,	0microseconds,	1351microseconds
1threads,	1584microseconds,	0microseconds
1threads,	0microseconds,	1392microseconds
